,age,<=50K,total,>50K
0,17,395,395,0
1,18,550,550,0
2,19,710,712,2
3,20,753,753,0
4,21,717,720,3
5,22,752,765,13
6,23,865,877,12
7,24,767,798,31
8,25,788,841,53
9,26,722,785,63
10,27,754,835,81
11,28,748,867,119
12,29,679,813,134
13,30,690,861,171
14,31,705,888,183
15,32,639,828,189
16,33,684,875,191
17,34,643,886,243
18,35,659,876,217
19,36,635,898,263
20,37,566,858,292
21,38,545,827,282
22,39,538,816,278
23,40,526,794,268
24,41,529,808,279
25,42,510,780,270
26,43,497,770,273
27,44,443,724,281
28,45,446,734,288
29,46,445,737,292
30,47,420,708,288
31,48,326,543,217
32,49,371,577,206
33,50,341,602,261
34,51,353,595,242
35,52,286,478,192
36,53,275,464,189
37,54,242,415,173
38,55,273,419,146
39,56,248,366,118
40,57,227,358,131
41,58,244,366,122
42,59,222,355,133
43,60,211,312,101
44,61,204,300,96
45,62,191,258,67
46,63,171,230,59
47,64,155,208,53
48,65,135,178,43
49,66,115,150,35
50,67,114,151,37
51,68,93,120,27
52,69,87,108,21
53,70,70,89,19
54,71,56,72,16
55,72,58,67,9
56,73,54,64,10
57,74,39,51,12
58,75,38,45,7
59,76,41,46,5
60,77,24,29,5
61,78,18,23,5
62,79,13,22,9
63,80,20,22,2
64,81,17,20,3
65,82,12,12,0
66,83,4,6,2
67,84,9,10,1
68,85,3,3,0
69,86,1,1,0
70,87,1,1,0
71,88,3,3,0
72,90,35,43,8
