hours_per_week,<=50K,total,>50K
1,18,20,2
2,24,32,8
3,38,39,1
4,51,54,3
5,53,60,7
6,56,64,8
7,22,26,4
8,134,145,11
9,17,18,1
10,258,278,20
11,11,11,0
12,161,173,12
13,21,23,2
14,32,34,2
15,389,404,15
16,192,205,13
17,28,29,1
18,68,75,7
19,14,14,0
20,1146,1224,78
21,22,24,2
22,40,44,4
23,21,21,0
24,229,252,23
25,639,674,35
26,26,30,4
27,29,30,1
28,81,86,5
29,6,7,1
30,1066,1149,83
31,5,5,0
32,238,266,28
33,35,39,4
34,26,28,2
35,1102,1297,195
36,177,220,43
37,129,149,20
38,390,476,86
39,31,38,7
40,11970,15217,3247
41,29,36,7
42,149,219,70
43,112,151,39
44,138,212,74
45,1139,1824,685
46,54,82,28
47,34,49,15
48,365,517,152
49,23,29,6
50,1543,2819,1276
51,10,13,3
52,90,138,48
53,19,25,6
54,27,41,14
55,371,694,323
56,57,97,40
57,10,17,7
58,19,28,9
59,3,5,2
60,827,1475,648
62,14,18,4
63,7,10,3
64,9,14,5
65,140,244,104
66,15,17,2
67,1,4,3
68,7,12,5
70,185,291,106
72,46,71,25
73,1,2,1
74,1,1,0
75,46,66,20
76,1,3,2
77,6,6,0
78,6,8,2
80,76,133,57
81,3,3,0
82,1,1,0
84,28,45,17
85,9,13,4
86,2,2,0
87,1,1,0
88,2,2,0
89,1,2,1
90,19,29,10
91,3,3,0
92,1,1,0
94,1,1,0
95,1,2,1
96,4,5,1
97,1,2,1
98,8,11,3
99,60,85,25
