native_country,<=50K,total,>50K
 ?,437,583,146
 Cambodia,12,19,7
 Canada,82,121,39
 China,55,75,20
 Columbia,57,59,2
 Cuba,70,95,25
 Dominican-Republic,68,70,2
 Ecuador,24,28,4
 El-Salvador,97,106,9
 England,60,90,30
 France,17,29,12
 Germany,93,137,44
 Greece,21,29,8
 Guatemala,61,64,3
 Haiti,40,44,4
 Holand-Netherlands,1,1,0
 Honduras,12,13,1
 Hong,14,20,6
 Hungary,10,13,3
 India,60,100,40
 Iran,25,43,18
 Ireland,19,24,5
 Italy,48,73,25
 Jamaica,71,81,10
 Japan,38,62,24
 Laos,16,18,2
 Mexico,610,643,33
 Nicaragua,32,34,2
 Outlying-US(Guam-USVI-etc),14,14,0
 Peru,29,31,2
 Philippines,137,198,61
 Poland,48,60,12
 Portugal,33,37,4
 Puerto-Rico,102,114,12
 Scotland,9,12,3
 South,64,80,16
 Taiwan,31,51,20
 Thailand,15,18,3
 Trinadad&Tobago,17,19,2
 United-States,21999,29170,7171
 Vietnam,62,67,5
 Yugoslavia,10,16,6
